#Edge1	Edge2
FBgn0003731	FBgn0261988
FBgn0003731	FBgn0261988
FBgn0015774	FBgn0260634
FBgn0015774	FBgn0260634
FBgn0085432	FBgn0000117
FBgn0085432	FBgn0000117
FBgn0004919	FBgn0003943
FBgn0004919	FBgn0003943
FBgn0004862	FBgn0000014
FBgn0004862	FBgn0000014
FBgn0003731	FBgn0028978
FBgn0003731	FBgn0028978
FBgn0011661	FBgn0003731
FBgn0011661	FBgn0003731
FBgn0002643	FBgn0003205
FBgn0002643	FBgn0003205
FBgn0005590	FBgn0003716
FBgn0005590	FBgn0003716
FBgn0004921	FBgn0002941
FBgn0004921	FBgn0002941
FBgn0003731	FBgn0026181
FBgn0003731	FBgn0026181
FBgn0026319	FBgn0000163
FBgn0026319	FBgn0000163
FBgn0003731	FBgn0040206
FBgn0003731	FBgn0040206
FBgn0039704	FBgn0052479
FBgn0039704	FBgn0052479
FBgn0003733	FBgn0003720
FBgn0003733	FBgn0003720
FBgn0003205	FBgn0010215
FBgn0003205	FBgn0010215
FBgn0003733	FBgn0265574
FBgn0003733	FBgn0265574
FBgn0003731	FBgn0000404
FBgn0003731	FBgn0000404
FBgn0002643	FBgn0086708
FBgn0002643	FBgn0086708
FBgn0036311	FBgn0261434
FBgn0036311	FBgn0261434
FBgn0040068	FBgn0261445
FBgn0040068	FBgn0261445
FBgn0003205	FBgn0003525
FBgn0003205	FBgn0003525
FBgn0014020	FBgn0011202
FBgn0014020	FBgn0011202
FBgn0010389	FBgn0020299
FBgn0010389	FBgn0020299
FBgn0265574	FBgn0003448
FBgn0265574	FBgn0003448
FBgn0026319	FBgn0265434
FBgn0026319	FBgn0265434
FBgn0003733	FBgn0000166
FBgn0003733	FBgn0000166
FBgn0086708	FBgn0036298
FBgn0086708	FBgn0036298
FBgn0015614	FBgn0000077
FBgn0015614	FBgn0000077
FBgn0008651	FBgn0011723
FBgn0008651	FBgn0011723
FBgn0004864	FBgn0004956
FBgn0004864	FBgn0004956
FBgn0030342	FBgn0261952
FBgn0030342	FBgn0261952
FBgn0265574	FBgn0015614
FBgn0265574	FBgn0015614
FBgn0015774	FBgn0036985
FBgn0015774	FBgn0036985
FBgn0004053	FBgn0011723
FBgn0004053	FBgn0011723
FBgn0004110	FBgn0003944
FBgn0004110	FBgn0003944
FBgn0004449	FBgn0086677
FBgn0004449	FBgn0086677
FBgn0003733	FBgn0004638
FBgn0003733	FBgn0004638
FBgn0003733	FBgn0003463
FBgn0003733	FBgn0003463
FBgn0004053	FBgn0011648
FBgn0004053	FBgn0011648
FBgn0003731	FBgn0036257
FBgn0003731	FBgn0036257
FBgn0003495	FBgn0260632
FBgn0003495	FBgn0260632
FBgn0003731	FBgn0026192
FBgn0003731	FBgn0026192
FBgn0003720	FBgn0004863
FBgn0003720	FBgn0004863
FBgn0260632	FBgn0003900
FBgn0260632	FBgn0003900
FBgn0010905	FBgn0036518
FBgn0010905	FBgn0036518
FBgn0014020	FBgn0000384
FBgn0014020	FBgn0000384
FBgn0085432	FBgn0004449
FBgn0085432	FBgn0004449
FBgn0003733	FBgn0000711
FBgn0003733	FBgn0000711
FBgn0003944	FBgn0000606
FBgn0003944	FBgn0000606
FBgn0266756	FBgn0015774
FBgn0266756	FBgn0015774
FBgn0052479	FBgn0039852
FBgn0052479	FBgn0039852
FBgn0000117	FBgn0003391
FBgn0000117	FBgn0003391
FBgn0003731	FBgn0030342
FBgn0003731	FBgn0030342
FBgn0260634	FBgn0034514
FBgn0260634	FBgn0034514
FBgn0259685	FBgn0000117
FBgn0259685	FBgn0000117
FBgn0003733	FBgn0000719
FBgn0003733	FBgn0000719
FBgn0038134	FBgn0036311
FBgn0038134	FBgn0036311
FBgn0004919	FBgn0010389
FBgn0004919	FBgn0010389
FBgn0087012	FBgn0040206
FBgn0087012	FBgn0040206
FBgn0002643	FBgn0000117
FBgn0002643	FBgn0000117
FBgn0039704	FBgn0010905
FBgn0039704	FBgn0010905
FBgn0028292	FBgn0000384
FBgn0028292	FBgn0000384
FBgn0003205	FBgn0261854
FBgn0003205	FBgn0261854
FBgn0030479	FBgn0024958
FBgn0030479	FBgn0024958
FBgn0003943	FBgn0000233
FBgn0003943	FBgn0000233
FBgn0000017	FBgn0045759
FBgn0000017	FBgn0045759
FBgn0003731	FBgn0004657
FBgn0003731	FBgn0004657
FBgn0015774	FBgn0039704
FBgn0015774	FBgn0039704
FBgn0036449	FBgn0003313
FBgn0036449	FBgn0003313
FBgn0000404	FBgn0004052
FBgn0000404	FBgn0004052
FBgn0000533	FBgn0003495
FBgn0000533	FBgn0003495
FBgn0014020	FBgn0003041
FBgn0014020	FBgn0003041
FBgn0026319	FBgn0000117
FBgn0026319	FBgn0000117
FBgn0011723	FBgn0011278
FBgn0011723	FBgn0011278
FBgn0001308	FBgn0003716
FBgn0001308	FBgn0003716
FBgn0000711	FBgn0031946
FBgn0000711	FBgn0031946
FBgn0004919	FBgn0036449
FBgn0004919	FBgn0036449
FBgn0004919	FBgn0003079
FBgn0004919	FBgn0003079
FBgn0003943	FBgn0261020
FBgn0003943	FBgn0261020
FBgn0020369	FBgn0250843
FBgn0020369	FBgn0250843
FBgn0066365	FBgn0039044
FBgn0066365	FBgn0039044
FBgn0003733	FBgn0003719
FBgn0003733	FBgn0003719
FBgn0003205	FBgn0000017
FBgn0003205	FBgn0000017
FBgn0026319	FBgn0023172
FBgn0026319	FBgn0023172
FBgn0031946	FBgn0051660
FBgn0031946	FBgn0051660
FBgn0003733	FBgn0250823
FBgn0003733	FBgn0250823
FBgn0022764	FBgn0033649
FBgn0022764	FBgn0033649
FBgn0003733	FBgn0040068
FBgn0003733	FBgn0040068
FBgn0000635	FBgn0000709
FBgn0000635	FBgn0000709
FBgn0010905	FBgn0002577
FBgn0010905	FBgn0002577
FBgn0015774	FBgn0020251
FBgn0015774	FBgn0020251
FBgn0026319	FBgn0004864
FBgn0026319	FBgn0004864
FBgn0015774	FBgn0264089
FBgn0015774	FBgn0264089
FBgn0028408	FBgn0259685
FBgn0028408	FBgn0259685
FBgn0003733	FBgn0003205
FBgn0003733	FBgn0003205
FBgn0003733	FBgn0003716
FBgn0003733	FBgn0003716
FBgn0000166	FBgn0000251
FBgn0000166	FBgn0000251
FBgn0023172	FBgn0004359
FBgn0023172	FBgn0004359
FBgn0003943	FBgn0029906
FBgn0003943	FBgn0029906
FBgn0039851	FBgn0001308
FBgn0039851	FBgn0001308
FBgn0003944	FBgn0003507
FBgn0003944	FBgn0003507
FBgn0003731	FBgn0267487
FBgn0003731	FBgn0267487
FBgn0004638	FBgn0020620
FBgn0004638	FBgn0020620
FBgn0002643	FBgn0022764
FBgn0002643	FBgn0022764
FBgn0260632	FBgn0003430
FBgn0260632	FBgn0003430
FBgn0250823	FBgn0261434
FBgn0250823	FBgn0261434
FBgn0003733	FBgn0000490
FBgn0003733	FBgn0000490
FBgn0004862	FBgn0003944
FBgn0004862	FBgn0003944
FBgn0014020	FBgn0003514
FBgn0014020	FBgn0003514
FBgn0266756	FBgn0000635
FBgn0266756	FBgn0000635
FBgn0039044	FBgn0250843
FBgn0039044	FBgn0250843
FBgn0003731	FBgn0024273
FBgn0003731	FBgn0024273
FBgn0003731	FBgn0026479
FBgn0003731	FBgn0026479
FBgn0003733	FBgn0003256
FBgn0003733	FBgn0003256
FBgn0003731	FBgn0033075
FBgn0003731	FBgn0033075
FBgn0266756	FBgn0011661
FBgn0266756	FBgn0011661
FBgn0034259	FBgn0000659
FBgn0034259	FBgn0000659
FBgn0003733	FBgn0011648
FBgn0003733	FBgn0011648
FBgn0014020	FBgn0001105
FBgn0014020	FBgn0001105
FBgn0003733	FBgn0020369
FBgn0003733	FBgn0020369
FBgn0003733	FBgn0003079
FBgn0003733	FBgn0003079
FBgn0003733	FBgn0003430
FBgn0003733	FBgn0003430
FBgn0003079	FBgn0004921
FBgn0003079	FBgn0004921
FBgn0284435	FBgn0028408
FBgn0284435	FBgn0028408
FBgn0000533	FBgn0000808
FBgn0000533	FBgn0000808
FBgn0015774	FBgn0003300
FBgn0015774	FBgn0003300
FBgn0003733	FBgn0030479
FBgn0003733	FBgn0030479
FBgn0002643	FBgn0000014
FBgn0002643	FBgn0000014
FBgn0026319	FBgn0003731
FBgn0026319	FBgn0003731
FBgn0014020	FBgn0026181
FBgn0014020	FBgn0026181
FBgn0004862	FBgn0034259
FBgn0004862	FBgn0034259
