#Node	BFS_Rank
FBgn0003943	1.0
FBgn0001233	0.829694323144105
FBgn0004638	0.7816593886462884
FBgn0000108	0.7663755458515287
FBgn0259174	0.7467248908296946
FBgn0004907	0.7423580786026203
FBgn0020622	0.735807860262009
FBgn0010379	0.7336244541484719
FBgn0015774	0.7314410480349348
FBgn0004177	0.7314410480349348
FBgn0001139	0.7314410480349347
FBgn0003091	0.7303493449781663
FBgn0005672	0.7270742358078606
FBgn0004647	0.7270742358078605
FBgn0025800	0.7270742358078603
FBgn0020238	0.7270742358078603
FBgn0003557	0.7248908296943234
FBgn0010905	0.7248908296943234
FBgn0010263	0.7227074235807861
FBgn0086675	0.7205240174672489
FBgn0000043	0.718340611353712
FBgn0003321	0.718340611353712
FBgn0015520	0.718340611353712
FBgn0029006	0.718340611353712
FBgn0086558	0.718340611353712
FBgn0264492	0.7161572052401749
FBgn0266599	0.7161572052401749
FBgn0000042	0.7139737991266378
FBgn0000499	0.7096069868995635
FBgn0040068	0.7096069868995635
FBgn0261617	0.7074235807860263
FBgn0003371	0.7030567685589525
FBgn0262656	0.703056768558952
FBgn0028471	0.7008733624454151
FBgn0265574	0.7008733624454151
FBgn0016917	0.7008733624454149
FBgn0020224	0.698689956331878
FBgn0037328	0.698689956331878
FBgn0001216	0.6986899563318779
FBgn0004106	0.6986899563318778
FBgn0046332	0.6986899563318778
FBgn0031883	0.6965065502183407
FBgn0003502	0.6954148471615724
FBgn0014141	0.6943231441048038
FBgn0005536	0.6943231441048038
FBgn0260934	0.6943231441048037
FBgn0000667	0.6932314410480352
FBgn0000229	0.6899563318777296
FBgn0037549	0.6899563318777295
FBgn0010269	0.6899563318777295
FBgn0000015	0.6899563318777294
FBgn0010583	0.6899563318777294
FBgn0003165	0.6899563318777294
FBgn0010909	0.6899563318777294
FBgn0261014	0.6899563318777293
FBgn0010333	0.6877729257641925
FBgn0033160	0.6877729257641924
FBgn0020496	0.6877729257641924
FBgn0024811	0.6877729257641924
FBgn0004103	0.6877729257641922
FBgn0000147	0.6877729257641921
FBgn0001942	0.6855895196506553
FBgn0000253	0.6855895196506552
FBgn0015805	0.6855895196506552
FBgn0039229	0.6855895196506552
FBgn0004587	0.6855895196506552
FBgn0004227	0.6855895196506552
FBgn0004449	0.6855895196506552
FBgn0263603	0.6855895196506551
FBgn0004569	0.6844978165938868
FBgn0004889	0.6834061135371182
